seq,type,uptime_ms,t_us,slot_id,sync,frame_ctr,rssi,snr,tx_done,rx_done,rx_crc_err,rx_bad_header,slot_timeouts,stale_retx,busy_timeouts,rx_ok,missed,dup,payload
88,tx,1931591,0,1,RUNNING,,,,,,,,,,,,,,
89,tx,1931631,0,1,RUNNING,,,,,,,,,,,,,,
90,rx,1931765,5558129,0,RUNNING,18,-64,7,,,,,,,,,,,
91,tx,1931765,0,1,RUNNING,,,,,,,,,,,,,,
92,tx,1931785,0,1,RUNNING,,,,,,,,,,,,,,
93,tx,1931825,0,1,RUNNING,,,,,,,,,,,,,,
94,rx,1931846,5758140,0,RUNNING,19,-63,8,,,,,,,,,,,
95,tx,1931846,0,1,RUNNING,,,,,,,,,,,,,,
96,tx,1932019,0,1,RUNNING,,,,,,,,,,,,,,
97,rx,1932039,5958141,0,RUNNING,20,-63,8,,,,,,,,,,,
98,tx,1932039,0,1,RUNNING,,,,,,,,,,,,,,
99,tx,1932140,0,1,RUNNING,,,,,,,,,,,,,,
100,rx,1932273,6158127,0,RUNNING,21,-64,9,,,,,,,,,,,
101,tx,1932273,0,1,RUNNING,,,,,,,,,,,,,,
102,stats,1932273,7720,0,RUNNING,,-12,-70,16,20,0,0,0,0,0,20,0,0,
103,tx,1932334,0,1,RUNNING,,,,,,,,,,,,,,
104,tx,1932394,0,1,RUNNING,,,,,,,,,,,,,,
105,rx,1932527,6358141,0,RUNNING,22,-64,8,,,,,,,,,,,
106,tx,1932527,0,1,RUNNING,,,,,,,,,,,,,,
107,tx,1932588,0,1,RUNNING,,,,,,,,,,,,,,
108,tx,1932628,0,1,RUNNING,,,,,,,,,,,,,,
109,rx,1932648,6558140,0,RUNNING,23,-64,8,,,,,,,,,,,
110,tx,1932648,0,1,RUNNING,,,,,,,,,,,,,,
111,tx,1932781,0,1,RUNNING,,,,,,,,,,,,,,
112,rx,1932842,6758138,0,RUNNING,24,-64,8,,,,,,,,,,,
113,tx,1932842,0,1,RUNNING,,,,,,,,,,,,,,
114,rx,1933035,6958094,0,RUNNING,25,-62,8,,,,,,,,,,,
115,tx,1933035,0,1,RUNNING,,,,,,,,,,,,,,
116,tx,1933136,0,1,RUNNING,,,,,,,,,,,,,,
117,rx,1933290,7158139,0,RUNNING,26,-63,7,,,,,,,,,,,
118,tx,1933290,0,1,RUNNING,,,,,,,,,,,,,,
119,stats,1933290,8288,0,RUNNING,,23,127,22,25,0,0,0,0,0,25,0,0,
120,tx,1933330,0,1,RUNNING,,,,,,,,,,,,,,
121,tx,1933390,0,1,RUNNING,,,,,,,,,,,,,,
122,rx,1933544,7358138,0,RUNNING,27,-64,8,,,,,,,,,,,
123,tx,1933544,0,1,RUNNING,,,,,,,,,,,,,,
124,tx,1933584,0,1,RUNNING,,,,,,,,,,,,,,
125,rx,1933644,7558137,0,RUNNING,28,-63,7,,,,,,,,,,,
126,tx,1933644,0,1,RUNNING,,,,,,,,,,,,,,
127,tx,1933798,0,1,RUNNING,,,,,,,,,,,,,,
128,rx,1933838,7758138,0,RUNNING,29,-64,7,,,,,,,,,,,
129,tx,1933838,0,1,RUNNING,,,,,,,,,,,,,,
130,rx,1934051,7958135,0,RUNNING,30,-64,8,,,,,,,,,,,
131,tx,1934051,0,1,RUNNING,,,,,,,,,,,,,,
132,tx,1934132,0,1,RUNNING,,,,,,,,,,,,,,
133,rx,1934306,8158124,0,RUNNING,31,-64,7,,,,,,,,,,,
134,tx,1934306,0,1,RUNNING,,,,,,,,,,,,,,
135,stats,1934306,8244,0,RUNNING,,-12,-55,27,30,0,0,0,0,0,30,0,0,
136,tx,1934326,0,1,RUNNING,,,,,,,,,,,,,,
137,tx,1934387,0,1,RUNNING,,,,,,,,,,,,,,
138,tx,1934427,0,1,RUNNING,,,,,,,,,,,,,,
139,rx,1934560,8358136,0,RUNNING,32,-63,8,,,,,,,,,,,
140,tx,1934560,0,1,RUNNING,,,,,,,,,,,,,,
141,tx,1934580,0,1,RUNNING,,,,,,,,,,,,,,
142,rx,1934640,8558137,0,RUNNING,33,-64,7,,,,,,,,,,,
143,tx,1934640,0,1,RUNNING,,,,,,,,,,,,,,
144,tx,1934814,0,1,RUNNING,,,,,,,,,,,,,,
145,rx,1934834,8758135,0,RUNNING,34,-64,7,,,,,,,,,,,
146,tx,1934834,0,1,RUNNING,,,,,,,,,,,,,,
147,tx,1934934,0,1,RUNNING,,,,,,,,,,,,,,
148,rx,1935067,8958135,0,RUNNING,35,-65,8,,,,,,,,,,,
149,tx,1935068,0,1,RUNNING,,,,,,,,,,,,,,
150,tx,1935128,0,1,RUNNING,,,,,,,,,,,,,,
151,tx,1935188,0,1,RUNNING,,,,,,,,,,,,,,
152,rx,1935324,9158135,0,RUNNING,36,-65,8,,,,,,,,,,,
