seq,type,uptime_ms,t_us,slot_id,sync,frame_ctr,rssi,snr,tx_done,rx_done,rx_crc_err,rx_bad_header,slot_timeouts,stale_retx,busy_timeouts,rx_ok,missed,dup,payload
0,meta,123002,0,0,STOPPED,,,,,,,,,,,,,,
1,tx,123002,0,0,RUNNING,,,,,,,,,,,,,,
2,stats,123002,8292,0,RUNNING,,0,0,109,0,0,0,0,0,0,0,0,0,
3,tx,123355,0,0,RUNNING,,,,,,,,,,,,,,
4,tx,123416,0,0,RUNNING,,,,,,,,,,,,,,
5,tx,123608,0,0,RUNNING,,,,,,,,,,,,,,
6,tx,123708,0,0,RUNNING,,,,,,,,,,,,,,
7,tx,123860,0,0,RUNNING,,,,,,,,,,,,,,
8,rx,123921,102511301,1,RUNNING,5,-65,9,,,,,,,,,,,
9,tx,123921,0,0,RUNNING,,,,,,,,,,,,,,
10,tx,123961,0,0,RUNNING,,,,,,,,,,,,,,
11,rx,124113,102711166,1,RUNNING,6,-65,8,,,,,,,,,,,
12,tx,124113,0,0,RUNNING,,,,,,,,,,,,,,
13,stats,124113,8867,0,RUNNING,,0,0,114,2,0,0,0,0,0,2,0,0,
14,tx,124154,0,0,RUNNING,,,,,,,,,,,,,,
15,tx,124214,0,0,RUNNING,,,,,,,,,,,,,,
16,rx,124366,102911154,1,RUNNING,7,-65,8,,,,,,,,,,,
17,tx,124366,0,0,RUNNING,,,,,,,,,,,,,,
18,tx,124406,0,0,RUNNING,,,,,,,,,,,,,,
19,rx,124619,103111147,1,RUNNING,8,-65,8,,,,,,,,,,,
20,tx,124619,0,0,RUNNING,,,,,,,,,,,,,,
21,rx,124720,103311140,1,RUNNING,9,-65,8,,,,,,,,,,,
22,tx,124720,0,0,RUNNING,,,,,,,,,,,,,,
23,tx,124872,0,0,RUNNING,,,,,,,,,,,,,,
24,rx,124912,103511145,1,RUNNING,10,-65,9,,,,,,,,,,,
25,tx,124912,0,0,RUNNING,,,,,,,,,,,,,,
26,tx,124953,0,0,RUNNING,,,,,,,,,,,,,,
27,rx,125126,103711147,1,RUNNING,11,-65,9,,,,,,,,,,,
28,tx,125126,0,0,RUNNING,,,,,,,,,,,,,,
29,stats,125126,8848,0,RUNNING,,0,0,119,7,0,0,0,0,0,7,0,0,
30,tx,125166,0,0,RUNNING,,,,,,,,,,,,,,
31,tx,125206,0,0,RUNNING,,,,,,,,,,,,,,
32,rx,125379,103911111,1,RUNNING,12,-65,8,,,,,,,,,,,
33,tx,125379,0,0,RUNNING,,,,,,,,,,,,,,
34,tx,125419,0,0,RUNNING,,,,,,,,,,,,,,
35,rx,125632,104111099,1,RUNNING,13,-65,9,,,,,,,,,,,
36,tx,125632,0,0,RUNNING,,,,,,,,,,,,,,
37,rx,125713,104311139,1,RUNNING,14,-65,9,,,,,,,,,,,
38,tx,125713,0,0,RUNNING,,,,,,,,,,,,,,
39,tx,125753,0,0,RUNNING,,,,,,,,,,,,,,
40,tx,125892,0,0,RUNNING,,,,,,,,,,,,,,
41,rx,125912,104511159,1,RUNNING,15,-65,8,,,,,,,,,,,
42,tx,125912,0,0,RUNNING,,,,,,,,,,,,,,
43,tx,125953,0,0,RUNNING,,,,,,,,,,,,,,
44,tx,126013,0,0,RUNNING,,,,,,,,,,,,,,
45,rx,126146,104711159,1,RUNNING,16,-65,9,,,,,,,,,,,
46,tx,126146,0,0,RUNNING,,,,,,,,,,,,,,
47,stats,126146,8860,0,RUNNING,,0,0,124,12,0,0,0,0,0,12,0,0,
48,tx,126166,0,0,RUNNING,,,,,,,,,,,,,,
49,tx,126206,0,0,RUNNING,,,,,,,,,,,,,,
50,rx,126400,104911154,1,RUNNING,17,-64,8,,,,,,,,,,,
51,tx,126400,0,0,RUNNING,,,,,,,,,,,,,,
52,tx,126420,0,0,RUNNING,,,,,,,,,,,,,,
53,rx,126520,105111150,1,RUNNING,18,-65,9,,,,,,,,,,,
54,tx,126520,0,0,RUNNING,,,,,,,,,,,,,,
55,tx,126653,0,0,RUNNING,,,,,,,,,,,,,,
56,rx,126713,105311144,1,RUNNING,19,-65,9,,,,,,,,,,,
57,tx,126713,0,0,RUNNING,,,,,,,,,,,,,,
58,tx,126753,0,0,RUNNING,,,,,,,,,,,,,,
59,tx,126906,0,0,RUNNING,,,,,,,,,,,,,,
60,rx,126926,105511146,1,RUNNING,20,-65,9,,,,,,,,,,,
61,tx,126926,0,0,RUNNING,,,,,,,,,,,,,,
62,tx,126967,0,0,RUNNING,,,,,,,,,,,,,,
63,tx,127007,0,0,RUNNING,,,,,,,,,,,,,,
64,rx,127160,105711134,1,RUNNING,21,-65,9,,,,,,,,,,,
65,tx,127160,0,0,RUNNING,,,,,,,,,,,,,,
66,stats,127160,8835,0,RUNNING,,0,0,129,17,0,0,0,0,0,17,0,0,
67,tx,127221,0,0,RUNNING,,,,,,,,,,,,,,
68,rx,127414,105911148,1,RUNNING,22,-66,8,,,,,,,,,,,
69,tx,127414,0,0,RUNNING,,,,,,,,,,,,,,
70,rx,127514,106111145,1,RUNNING,23,-65,9,,,,,,,,,,,
71,tx,127514,0,0,RUNNING,,,,,,,,,,,,,,
72,tx,127667,0,0,RUNNING,,,,,,,,,,,,,,
73,tx,127707,0,0,RUNNING,,,,,,,,,,,,,,
74,rx,127727,106311147,1,RUNNING,24,-65,8,,,,,,,,,,,
75,tx,127727,0,0,RUNNING,,,,,,,,,,,,,,
76,tx,127768,0,0,RUNNING,,,,,,,,,,,,,,
77,rx,127920,106511147,1,RUNNING,25,-65,9,,,,,,,,,,,
78,tx,127920,0,0,RUNNING,,,,,,,,,,,,,,
79,tx,127961,0,0,RUNNING,,,,,,,,,,,,,,
80,tx,128021,0,0,RUNNING,,,,,,,,,,,,,,
81,rx,128175,106711111,1,RUNNING,26,-65,9,,,,,,,,,,,
82,tx,128175,0,0,RUNNING,,,,,,,,,,,,,,
83,stats,128175,8812,0,RUNNING,,0,0,134,22,0,0,0,0,0,22,0,0,
84,tx,128215,0,0,RUNNING,,,,,,,,,,,,,,
85,rx,128428,106911095,1,RUNNING,27,-65,9,,,,,,,,,,,
86,tx,128428,0,0,RUNNING,,,,,,,,,,,,,,
87,tx,128509,0,0,RUNNING,,,,,,,,,,,,,,
88,rx,128529,107111141,1,RUNNING,28,-65,9,,,,,,,,,,,
89,tx,128529,0,0,RUNNING,,,,,,,,,,,,,,
90,tx,128682,0,0,RUNNING,,,,,,,,,,,,,,
91,rx,128722,107311144,1,RUNNING,29,-65,8,,,,,,,,,,,
92,tx,128722,0,0,RUNNING,,,,,,,,,,,,,,
93,tx,128762,0,0,RUNNING,,,,,,,,,,,,,,
94,tx,128803,0,0,RUNNING,,,,,,,,,,,,,,
95,rx,128935,107511147,1,RUNNING,30,-65,8,,,,,,,,,,,
96,tx,128935,0,0,RUNNING,,,,,,,,,,,,,,
97,tx,128956,0,0,RUNNING,,,,,,,,,,,,,,
98,tx,129016,0,0,RUNNING,,,,,,,,,,,,,,
99,rx,129189,107711102,1,RUNNING,31,-65,9,,,,,,,,,,,
100,tx,129189,0,0,RUNNING,,,,,,,,,,,,,,
101,stats,129189,8803,0,RUNNING,,0,0,139,27,0,0,0,0,0,27,0,0,
102,tx,129210,0,0,RUNNING,,,,,,,,,,,,,,
103,tx,129310,0,0,RUNNING,,,,,,,,,,,,,,
104,rx,129449,107911128,1,RUNNING,32,-65,8,,,,,,,,,,,
105,tx,129449,0,0,RUNNING,,,,,,,,,,,,,,
106,tx,129509,0,0,RUNNING,,,,,,,,,,,,,,
107,rx,129530,108111146,1,RUNNING,33,-65,9,,,,,,,,,,,
108,tx,129530,0,0,RUNNING,,,,,,,,,,,,,,
109,tx,129570,0,0,RUNNING,,,,,,,,,,,,,,
110,tx,129703,0,0,RUNNING,,,,,,,,,,,,,,
111,rx,129723,108311148,1,RUNNING,34,-65,9,,,,,,,,,,,
112,tx,129723,0,0,RUNNING,,,,,,,,,,,,,,
113,tx,129763,0,0,RUNNING,,,,,,,,,,,,,,
114,tx,129803,0,0,RUNNING,,,,,,,,,,,,,,
115,rx,129957,108511148,1,RUNNING,35,-65,9,,,,,,,,,,,
116,tx,129957,0,0,RUNNING,,,,,,,,,,,,,,
117,tx,130017,0,0,RUNNING,,,,,,,,,,,,,,
118,rx,130210,108711142,1,RUNNING,36,-66,9,,,,,,,,,,,
119,tx,130210,0,0,RUNNING,,,,,,,,,,,,,,
120,stats,130210,8843,0,RUNNING,,0,0,144,32,0,0,0,0,0,32,0,0,
121,tx,130311,0,0,RUNNING,,,,,,,,,,,,,,
122,rx,130331,108911136,1,RUNNING,37,-66,9,,,,,,,,,,,
123,tx,130331,0,0,RUNNING,,,,,,,,,,,,,,
124,tx,130464,0,0,RUNNING,,,,,,,,,,,,,,
125,tx,130504,0,0,RUNNING,,,,,,,,,,,,,,
126,rx,130524,109111150,1,RUNNING,38,-66,9,,,,,,,,,,,
127,tx,130524,0,0,RUNNING,,,,,,,,,,,,,,
128,tx,130565,0,0,RUNNING,,,,,,,,,,,,,,
129,rx,130717,109311149,1,RUNNING,39,-66,8,,,,,,,,,,,
130,tx,130717,0,0,RUNNING,,,,,,,,,,,,,,
131,tx,130758,0,0,RUNNING,,,,,,,,,,,,,,
132,tx,130818,0,0,RUNNING,,,,,,,,,,,,,,
133,rx,130971,109511149,1,RUNNING,40,-65,9,,,,,,,,,,,
134,tx,130971,0,0,RUNNING,,,,,,,,,,,,,,
135,tx,131011,0,0,RUNNING,,,,,,,,,,,,,,
136,rx,131225,109711143,1,RUNNING,41,-66,8,,,,,,,,,,,
137,tx,131225,0,0,RUNNING,,,,,,,,,,,,,,
138,stats,131225,8844,0,RUNNING,,0,0,149,37,0,0,0,0,0,37,0,0,
139,tx,131305,0,0,RUNNING,,,,,,,,,,,,,,
140,rx,131326,109911148,1,RUNNING,42,-66,8,,,,,,,,,,,
141,tx,131326,0,0,RUNNING,,,,,,,,,,,,,,
142,tx,131478,0,0,RUNNING,,,,,,,,,,,,,,
143,rx,131519,110111146,1,RUNNING,43,-66,8,,,,,,,,,,,
144,tx,131519,0,0,RUNNING,,,,,,,,,,,,,,
145,tx,131559,0,0,RUNNING,,,,,,,,,,,,,,
146,rx,131732,110311138,1,RUNNING,44,-65,8,,,,,,,,,,,
147,tx,131732,0,0,RUNNING,,,,,,,,,,,,,,
148,tx,131772,0,0,RUNNING,,,,,,,,,,,,,,
149,tx,131813,0,0,RUNNING,,,,,,,,,,,,,,
150,rx,131986,110511148,1,RUNNING,45,-65,9,,,,,,,,,,,
151,tx,131986,0,0,RUNNING,,,,,,,,,,,,,,
152,tx,132006,0,0,RUNNING,,,,,,,,,,,,,,
153,tx,132106,0,0,RUNNING,,,,,,,,,,,,,,
154,rx,132240,110711149,1,RUNNING,46,-66,9,,,,,,,,,,,
155,tx,132240,0,0,RUNNING,,,,,,,,,,,,,,
156,stats,132240,8850,0,RUNNING,,0,0,154,42,0,0,0,0,0,42,0,0,
157,rx,132320,110911149,1,RUNNING,47,-66,9,,,,,,,,,,,
158,tx,132320,0,0,RUNNING,,,,,,,,,,,,,,
159,tx,132360,0,0,RUNNING,,,,,,,,,,,,,,
160,tx,132499,0,0,RUNNING,,,,,,,,,,,,,,
161,rx,132519,111111149,1,RUNNING,48,-66,8,,,,,,,,,,,
162,tx,132519,0,0,RUNNING,,,,,,,,,,,,,,
163,tx,132560,0,0,RUNNING,,,,,,,,,,,,,,
164,tx,132620,0,0,RUNNING,,,,,,,,,,,,,,
165,rx,132753,111311150,1,RUNNING,49,-65,9,,,,,,,,,,,
166,tx,132753,0,0,RUNNING,,,,,,,,,,,,,,
167,tx,132813,0,0,RUNNING,,,,,,,,,,,,,,
168,rx,133006,111511137,1,RUNNING,50,-66,8,,,,,,,,,,,
169,tx,133006,0,0,RUNNING,,,,,,,,,,,,,,
170,tx,133107,0,0,RUNNING,,,,,,,,,,,,,,
171,rx,133127,111711146,1,RUNNING,51,-66,8,,,,,,,,,,,
172,tx,133127,0,0,RUNNING,,,,,,,,,,,,,,
173,tx,133260,0,0,RUNNING,,,,,,,,,,,,,,
174,stats,133260,8847,0,RUNNING,,0,0,159,47,0,0,0,0,0,47,0,0,
175,rx,133320,111911148,1,RUNNING,52,-66,8,,,,,,,,,,,
176,tx,133320,0,0,RUNNING,,,,,,,,,,,,,,
177,tx,133361,0,0,RUNNING,,,,,,,,,,,,,,
178,rx,133514,112111148,1,RUNNING,53,-66,10,,,,,,,,,,,
179,tx,133514,0,0,RUNNING,,,,,,,,,,,,,,
180,tx,133554,0,0,RUNNING,,,,,,,,,,,,,,
181,tx,133614,0,0,RUNNING,,,,,,,,,,,,,,
182,rx,133767,112311147,1,RUNNING,54,-65,9,,,,,,,,,,,
183,tx,133767,0,0,RUNNING,,,,,,,,,,,,,,
184,tx,133807,0,0,RUNNING,,,,,,,,,,,,,,
185,rx,134021,112511094,1,RUNNING,55,-66,9,,,,,,,,,,,
186,tx,134021,0,0,RUNNING,,,,,,,,,,,,,,
187,rx,134122,112711147,1,RUNNING,56,-66,9,,,,,,,,,,,
188,tx,134122,0,0,RUNNING,,,,,,,,,,,,,,
189,tx,134275,0,0,RUNNING,,,,,,,,,,,,,,
190,stats,134275,8305,0,RUNNING,,0,0,165,52,0,0,0,0,0,52,0,0,
191,rx,134315,112911150,1,RUNNING,57,-65,10,,,,,,,,,,,
192,tx,134315,0,0,RUNNING,,,,,,,,,,,,,,
193,tx,134355,0,0,RUNNING,,,,,,,,,,,,,,
194,rx,134529,113111157,1,RUNNING,58,-65,9,,,,,,,,,,,
195,tx,134529,0,0,RUNNING,,,,,,,,,,,,,,
196,tx,134569,0,0,RUNNING,,,,,,,,,,,,,,
197,tx,134609,0,0,RUNNING,,,,,,,,,,,,,,
198,rx,134782,113311108,1,RUNNING,59,-66,9,,,,,,,,,,,
199,tx,134782,0,0,RUNNING,,,,,,,,,,,,,,
200,tx,134822,0,0,RUNNING,,,,,,,,,,,,,,
201,tx,134903,0,0,RUNNING,,,,,,,,,,,,,,
202,rx,135036,113511142,1,RUNNING,60,-66,8,,,,,,,,,,,
203,tx,135036,0,0,RUNNING,,,,,,,,,,,,,,
204,rx,135116,113711145,1,RUNNING,61,-65,8,,,,,,,,,,,
205,tx,135116,0,0,RUNNING,,,,,,,,,,,,,,
206,tx,135156,0,0,RUNNING,,,,,,,,,,,,,,
207,tx,135290,0,0,RUNNING,,,,,,,,,,,,,,
208,stats,135290,8248,0,RUNNING,,0,0,170,57,0,0,0,0,0,57,0,0,
209,tx,135310,0,0,RUNNING,,,,,,,,,,,,,,
210,rx,135330,113911149,1,RUNNING,62,-66,8,,,,,,,,,,,
211,tx,135330,0,0,RUNNING,,,,,,,,,,,,,,
212,tx,135370,0,0,RUNNING,,,,,,,,,,,,,,
213,tx,135410,0,0,RUNNING,,,,,,,,,,,,,,
214,rx,135544,114111139,1,RUNNING,63,-66,8,,,,,,,,,,,
215,tx,135544,0,0,RUNNING,,,,,,,,,,,,,,
216,tx,135564,0,0,RUNNING,,,,,,,,,,,,,,
217,tx,135604,0,0,RUNNING,,,,,,,,,,,,,,
218,rx,135798,114311091,1,RUNNING,64,-65,9,,,,,,,,,,,
219,tx,135798,0,0,RUNNING,,,,,,,,,,,,,,
220,tx,135818,0,0,RUNNING,,,,,,,,,,,,,,
221,rx,135918,114511141,1,RUNNING,65,-66,9,,,,,,,,,,,
222,tx,135918,0,0,RUNNING,,,,,,,,,,,,,,
223,tx,136051,0,0,RUNNING,,,,,,,,,,,,,,
224,tx,136112,0,0,RUNNING,,,,,,,,,,,,,,
225,rx,136132,114711146,1,RUNNING,66,-65,9,,,,,,,,,,,
226,tx,136132,0,0,RUNNING,,,,,,,,,,,,,,
227,tx,136172,0,0,RUNNING,,,,,,,,,,,,,,
228,tx,136305,0,0,RUNNING,,,,,,,,,,,,,,
229,stats,136305,8271,0,RUNNING,,0,0,175,62,0,0,0,0,0,62,0,0,
